Item	Vendor	Price	Date	Notes
Entertainment	Rex Beauty Inc (BSW)	12.309975882157014	9	
Vacation	Patties	12.157283173484942	22	
Entertainment	Shoppers Drug Mart	0.08320174434331751	15	
Gasoline	Toronto Humane	39.007148079283496	14	
Restaurant	Rens Pets	10.986399865858418	12	Resource behavior reason term watch.
Parking	City of Toronto	12.390996591719157	6	Between administration school purpose always article.
Restaurant	Toronto Humane	4.9966394044513995	2	
Hobbies	Food Basics	22.29467188934787	23	Professional cause interesting friend support.
Gift	Thai Express	0.5276073950880233	2	
Public Transit	Tim Hortons	20.19645900507143	23	
Hobbies	Loblaws	28.924238660345498	13	Surface system many themselves.
Pets	CNIB	39.95477897173017	14	
Gift	H&M	11.11382214578525	10	
Organization	Daily Bread	1.4056762957032864	12	
Restaurant	TPL Foundation	26.86811876145347	25	
Charity	Ticketmaster	23.374697434462917	17	
Parking	Sick Kids foundation	39.217084738138176	21	
Gift	NSLSC	11.439406029155489	5	
Entertainment	H&M	38.041731087610444	20	Free simple until.
Pets	NSLSC	29.722734601266083	1	
Pets	Chatime	2.8239446871349028	1	
Career	CNIB	12.271376384298867	19	
Organization	H&M	26.47283903033824	1	
Public Transit	Paramount Fine Foods	2.0138342801696574	28	
Student Loans	Thai Express	6.330651976533139	20	Choose eight across though campaign.
Public Transit	Bar Burrito	21.631096596054835	2	
Vacation	Spotify	33.49784939045481	2	Born wall price.
Parking	Chick-Fil-A	18.675915710178288	25	Others create ever cup bit.
Gift	Shoppers Drug Mart	15.98884924399429	9	
Parking	The Alley	15.754190555833203	15	
