Item	Vendor	Price	Date	Notes
Entertainment	Shoppers Drug Mart	4.1180601737335865	4	Summer baby anything system.
Parking	Tahinis	2.3325428982580387	10	Field federal out usually walk when.
Gift	Rex Beauty Inc (BSW)	31.92734598498076	17	
Gasoline	Telus	30.531170173107178	11	
Unknown	Freshco	25.292537147282673	25	
Gasoline	Real Canadian Super Store (RCSS)	21.143377461897575	22	
Entertainment	ABC PLANE FEE (SCAM)	1.2611688860771375	18	Focus watch single single letter leg.
Banking fees	Shoppers Drug Mart	30.86811833987978	29	
Parking	Food Basics	4.219744919351931	28	Record yard rise individual book.
Groceries	Tim Hortons	2.354618143873415	21	
Gasoline	Ikea	5.417879491345392	13	
Vacation	CNIB	26.10546835279116	10	
Vacation	Ikea	18.5449913676867	26	
Parking	TPL Foundation	20.702678201933125	18	
Gift	Chick-Fil-A	23.522931971546164	18	Office research study.
Bills	Sport Check	15.939005200401045	22	
Groceries	Telus	15.000587774973347	10	
Banking fees	Real Canadian Super Store (RCSS)	32.98274636678816	19	Voice often war of.
Banking fees	Ticketmaster	34.136941169026564	8	
Parking	CNIB	28.60517283088153	28	
Parking	Tim Hortons	12.8775028345251	18	
Entertainment	Patties	37.82913309471317	13	
Fashion	Freshco	34.423807223601706	12	
Career	City of Toronto	10.961545162861231	24	Onto according mission watch board each.
Gasoline	Chick-Fil-A	2.968338321496664	30	
Unknown	Toronto Humane	11.30227842549794	24	
Student Loans	Patties	37.96853026189508	27	
