	Item	Vendor	Price	Date	Notes
0	Education	Ticketmaster	13.346590375974312	19	
1	Organization	Presto	26.676822986043277	9	
2	Bills	Scotiabank	13.557823714918914	13	Help center event gas thought from.
3	Vacation	Food Basics	22.929694461158583	24	
4	Hobbies	Sobeys	34.90898928442239	3	
5	Pets	Dollar Tree	21.245718177344855	29	During song source three large.
6	Restaurant	Rex Beauty Inc (BSW)	16.792954819033795	10	
7	Parking	Presto	21.670617137352465	29	
8	Restaurant	Daily Bread	30.769057662658565	9	
9	Hobbies	CNIB	26.787870556336003	9	
10	Parking	Thai Express	36.89500029455198	22	
11	Career	Dollarama	6.939055654474453	13	
12	Entertainment	Rens Pets	7.0041498381280265	15	
13	Bills	Amazon	5.45972457824397	19	
14	Pets	Tahinis	34.012836227257466	4	
15	Hobbies	Cinnabon	32.79707180853048	25	
16	Hobbies	Spotify	22.74347828875838	19	
17	Parking	Spotify	29.133535022134996	25	
18	Gasoline	The Alley	10.439621636386702	27	
19	Parking	TPL Foundation	37.705529735136786	21	Enough ever rather however Democrat majority.
20	Pets	Presto	28.7382568197962	19	
21	Restaurant	Paramount Fine Foods	22.418841236491108	18	
22	Career	Paramount Fine Foods	3.580093555414554	13	
23	Education	Freshco	15.326120827892332	23	Standard push show agree or.
24	Pets	Sobeys	33.44174958131278	29	Half anything check full condition media.
25	Hobbies	Amazon	5.582621821188614	22	
26	Charity	CanadaHelps	39.69844371577477	17	
27	Gasoline	CNIB	21.110689001459907	24	
28	Unknown	Tahinis	12.244290577243394	18	
29	Fashion	Scotiabank	3.561295337930872	26	
30	Education	Dollar Tree	19.698488970254644	26	
31	Groceries	Walmart	2.187646072197116	10	
